Time c_o3COM[3]
0 35.491433
0 38.063724
0 36.744263
0 34.447363
0 37.964743
0 32.329057
0 33.085231
0 32.565284
0 37.658927
0 36.185447
0 36.885992
0 37.280175
0 34.253506
0 35.658355
0 32.821303
0 30.913169
0 31.590533
0 37.031322
0 34.29818
0 32.623026
0 32.99782
0 35.586926
0 34.871208
0 33.954329
0 35.96446
0 33.142602
0 34.00688
0 36.346252
0 34.087835
0 34.119342
0 41.027151
0 33.691387
0 33.63106
0 36.534547
0 36.430426
0 34.882436
0 31.619959
0 33.207221
0 35.85481
0 36.146423
0 35.774024
0 34.096337
0 31.432901
0 34.551392
0 27.784853
0 36.118058
0 35.607895
0 36.169356
0 31.49628
0 34.388361
0 33.285038
0 35.940234
0 30.853934
0 36.930259
0 31.093417
0 32.974408
0 32.838558
0 35.945707
0 32.899035
0 33.501804
0 33.978481
0 34.531525
0 35.920591
0 33.822859
0 34.996
0 34.45004
0 32.395332
0 37.193854
0 37.269934
0 35.364006
0 30.437461
0 32.039858
0 34.899063
0 35.192065
0 35.399734
0 31.273732
0 33.972972
0 36.073319
0 34.275033
0 36.130029
0 34.43195
0 36.708452
0 35.151423
0 37.666444
0 37.025517
0 36.87121
0 34.058629
0 35.94153
0 35.055498
0 34.719798
0 31.813477
0 31.479521
0 34.618188
0 40.099124
0 31.250313
0 30.83716
0 35.660675
0 32.378337
0 33.282281
0 34.747893
0 37.138226
0 33.343771
0 34.171916
0 34.309457
0 33.288643
0 34.862759
0 34.048352
0 34.723725
0 35.744467
0 32.137372
0 33.606749
0 31.112709
0 33.672164
0 32.293642
0 33.539867
0 35.160228
0 33.014945
0 38.469775
0 36.264354
0 34.616422
0 33.756721
0 34.227382
0 32.035672
0 35.878839
0 38.733478
0 32.605477
0 36.080961
0 35.000189
0 37.694696
0 36.566956
0 31.360942
0 36.754752
0 33.459974
0 36.115583
0 35.288512
0 36.697343
0 38.010425
0 35.849559
0 37.569693
0 39.944698
0 33.944706
0 34.17945
0 36.234281
0 35.881645
0 36.450566
0 38.85928
0 38.322395
0 39.563825
0 35.085316
0 35.113641
0 37.543698
0 30.944343
0 35.846213
0 33.553891
0 33.737399
0 33.978528
0 32.994508
0 35.874676
0 35.789347
0 38.608637
0 34.301274
0 31.831216
0 33.23176
0 35.057203
0 36.858539
0 34.927022
0 30.820396
0 32.378139
0 33.839209
0 37.225697
0 38.704358
0 34.415536
0 32.797327
0 34.963001
0 34.432243
0 38.112888
0 34.085234
0 34.941663
0 35.241149
0 38.026759
0 37.537691
0 35.818844
0 33.482963
0 33.748203
0 37.735985
0 34.112284
0 34.311104
0 38.810421
0 34.326879
0 34.280754
0 31.658867
0 32.729028
0 35.55403
0 33.237417
0 34.082319
0 35.322998
0 36.478104
0 35.571649
0 36.423478
0 36.927941
0 31.969957
0 33.861708
0 33.585112
0 31.192725
0 35.945943
0 36.253695
0 32.161742
0 36.975671
0 35.271834
0 35.691189
0 35.91231
0 33.14559
0 33.020078
0 35.194998
0 33.439229
0 36.395926
0 34.683759
0 35.94696
0 34.550104
0 34.39547
0 36.561136
0 31.717209
0 35.429209
0 34.737246
0 37.232667
0 31.437209
0 32.517467
0 33.389713
0 36.843869
0 34.120372
0 37.895673
0 33.858964
0 33.548246
0 35.243253
0 36.017555
0 31.229552
0 36.462221
0 32.643963
0 37.903855
0 36.06143
0 37.526208
0 34.661362
0 32.247276
0 35.858013
0 35.416836
0 37.836652
0 34.800715
0 35.121694
0 34.8464
0 30.791972
0 34.011747
0 39.132359
0 35.392098
0 31.651275
0 37.402558
0 36.281746
0 36.166189
0 36.237557
0 37.033673
0 34.905095
0 35.614383
